size_kb,entropy,ext_exec_score,packed_score,n_suspicious_strings,imports_count,write_syscalls,rename_ops,macro_score,script_score,is_archive,compression_ratio,ext_entropy,network_contact,has_signature_hit,label
528.8875610047862,4.382332491298675,0.0,0.20737147388224336,3,5,13,5,0.03400249267767748,0.0,0,0.5620265045554667,0.15948180183172075,0.10079223974546811,0,benign
42.28918073934195,3.7707561314739073,0.0,0.022136370791749765,1,13,43,1,0.016617178433577833,0.09655345696400137,0,0.4319998168020349,0.18663188861373015,0.0023708191981466897,0,benign
207.6918563974065,5.061966425522756,0.0,0.0,1,4,37,4,0.0,0.08239096246964683,0,0.4895500612118326,0.29841187443378436,0.07260439854361278,0,benign
318.9864635607959,3.2227390310163253,0.0,0.0,0,1,73,0,0.040549393628931514,0.059233638771958905,0,0.3243497907297443,0.4905900793183896,0.034797330919366876,0,benign
524.9854590544771,4.304481447177882,0.4,0.15379428759660105,1,2,34,2,0.07590424179302208,0.0,0,0.30442891284717183,0.44880519784664474,0.0,0,benign
55.44529034734413,3.6741940472497325,0.4,0.15111600867244418,0,10,7,0,0.00129066587728866,0.19143492100080997,0,0.44669772387367207,0.2954681361438993,0.0,0,benign
459.653088487299,3.9023548054278727,0.0,0.12416721034040995,0,12,45,5,0.014647864659216121,0.07070841552549709,1,0.5346961714874967,0.18954442984221143,0.0,0,benign
44.04540677697531,4.174282371420581,0.0,0.01694930506238762,0,17,37,4,0.012967912388957696,0.0,0,0.07121895803264248,0.05,0.023685010003734994,0,benign
298.0798702114192,3.941817473204372,0.0,0.16112404038885125,0,8,59,2,0.010363392639595993,0.08554366307222097,0,0.1736680744016212,0.26356835355850894,0.04514274041918594,0,benign
925.3389975464215,2.512196959119069,1.0,0.12189625796919465,0,233,33,2,0.0,0.0528207498303667,0,0.36734797836932553,0.27834297685031595,0.036342351409591876,0,benign
158.65511777073345,3.1705194293779364,0.0,0.10247789821708306,0,7,51,1,0.019319267795615845,0.0,0,0.2191939337065243,0.2811762065389092,0.0,0,benign
740.5661789468481,6.019231023210265,0.0,0.08791707123258774,1,17,0,3,0.0,0.12820694433784727,0,0.5506700647658216,0.10836391269350576,0.0,0,benign
82.41071814691257,4.217402133147015,0.0,0.03809377278619176,1,7,30,5,0.06344326031446881,0.0,0,0.26927255301466607,0.2414697794450098,0.15565978173923084,0,benign
170.3717469632786,3.8007263621087355,0.0,0.0,6,27,45,6,0.0,0.20714518077998922,1,0.31508296730559027,0.05,0.0,0,benign
8.574807880122172,4.443611705593966,0.0,0.00742874962885938,0,9,0,4,0.03221539952940275,0.056934366961252154,0,0.16270330041730818,0.16148620809716058,0.0,0,benign
529.3156121715646,4.704813409510188,0.0,0.040053911378249096,0,13,29,0,0.03673538655513506,0.056580306499351946,0,0.42842753252171056,0.4169286904585541,0.05831181257942801,0,benign
3337.139482401064,4.832867257949723,0.0,0.08426617660616578,0,8,4,2,0.0,0.0,0,0.4644640026039547,0.21380329768441947,0.03422342299412744,0,benign
258.3411098424443,5.353848270032543,0.0,0.0,1,15,44,6,0.0,0.13776608716358335,0,0.4039344691147082,0.31215166749744405,0.19495355480377552,0,benign
430.6825571193069,6.3055322840756425,0.4,0.012707470807151705,0,17,25,1,0.0,0.15525887281367218,0,0.5269263443586125,0.31930702082816914,0.10706811721693148,0,benign
41.086808070326185,4.121205699304382,0.0,0.06647030941309989,1,10,45,2,0.034080072906072324,0.1665445949589583,0,0.14293742545510424,0.05,0.09397830738756699,0,benign
38.52014361332546,5.104241935124293,0.0,0.14589231677051373,0,11,20,0,0.0255737864392575,0.017619429519310316,0,0.23088928986474627,0.283691828792254,0.0,0,benign
66.17116153919861,4.717957231784596,0.0,0.07266870246820119,0,7,38,0,0.050298540426466094,0.07197332590449557,0,0.3938189910195805,0.22570638626170728,0.006316143289553676,0,benign
158.04735718467023,5.625001220877727,0.4,0.009920875389310774,0,15,16,4,0.0,0.19080346339389184,0,0.2117300210109344,0.15988662754188532,0.0,0,benign
434.2702236480474,4.331957896478344,0.4,0.2693737200597133,2,11,27,0,0.04300545815413313,0.46616180486213654,0,0.3101800266972577,0.05,0.1260824928792117,0,benign
